unique_identifier,title,document_type,published_on,document_url,source_specific_tags,top_topics,languages,document_theme,core_doi
thlfi-2a4bd2070b285e6423e372c618acc9b4,Laboratory diagnosis and surveillance of acute respiratory tract infections caused by certain common viruses and Mycoplasma pneumoniae,Clinical guidance,2013-10-09,http://www.julkari.fi/handle/10024/110666,,"Influenza A virus subtype H3N2, Infection, Influenza",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science, health, health>diseases and conditions>illness, science and technology>natural science>biology, health>diseases and conditions>communicable disease, science and technology",10.1126/science.1213362
europa-a9668ce81c8ecad43ec51ad50d64a1ec,Eurosurveillance : special edition : emergence of novel influenza A(H7N9) virus. July 2013.,Publication,2013-07-25,https://op.europa.eu/en/publication-detail/-/publication/c2393ed9-e57b-4bf8-8f18-4c5e840fdb0f/language-en/format-PDF,,"Influenza A virus subtype H7N9, Influenza, Influenza A virus subtype H5N1",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology>genetics, health>diseases and conditions, science and technology>natural science>biology",10.1126/science.1213362
cdc-5316d03a2a78ed5c0967ac220032b779,Biosafety recommendations for work with influenza viruses containing a hemagglutinin from the A/goose/Guangdong/1/96 lineage,Clinical guidance,2013-06-10,https://stacks.cdc.gov/view/cdc/13731,,"Influenza A virus subtype H5N1, Avian influenza, Biosafety level",eng,"science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health, science and technology>natural science>biology, science and technology, health>diseases and conditions>communicable disease",10.1126/science.1213362
parliamentofaustraliacc-aa9c6cbc8cc1d60c88dfc9b136b5c45e,Implementation of the Defence Trade Controls Legislation Submission 12,Publication,2013-05-20,https://www.aph.gov.au/DocumentStore.ashx?id=7e78bfeb-3fd2-41c8-af9e-bcbad7f0eb75&subId=23372,,"Biosecurity, Dual-use technology, Research",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology, science and technology>natural science>biology>genetics",10.1126/science.1213362
ecdc-a086bc835ffb08f1c0cd2ede54009b3a,"Human infection with a novel avian influenza virus, A(H7N9), China - 2nd update, 8 May 2013",Publication,2013-05-08,https://www.ecdc.europa.eu/en/publications-data/human-infection-novel-avian-influenza-virus-ah7n9-china-2nd-update-8-may-2013,,"Influenza A virus subtype H7N9, Avian influenza, Influenza A virus subtype H5N1",eng,"health>diseases and conditions, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health, science and technology>natural science>biology, science and technology, health>diseases and conditions>illness, health>diseases and conditions>communicable disease",10.1126/science.1213362
hcspfr-2184f263c83f8debd5ae7d1a8be48362,Infections due to avian <em>influenza</em> viruses A(H7N9) or A(H5N1). Recommendations,Publication,2013-04-25,https://www.hcsp.fr/Explore.cgi/avisrapportsdomaine?clefr=323,,"Influenza A virus subtype H7N9, Influenza A virus subtype H5N1, Influenza",fre,"science and technology, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science, health>diseases and conditions, health, health>diseases and conditions>illness, science and technology>natural science>biology, health>diseases and conditions>communicable disease",10.1126/science.1213362
ecdc-db1eb817c3012efe2762a47b90493a17,"Rapid risk assessment on influenza A(H7N9) China, 12 April 2013",Publication,2013-04-12,https://www.ecdc.europa.eu/en/publications-data/rapid-risk-assessment-influenza-ah7n9-china-12-april-2013,,"Influenza A virus subtype H7N9, Avian influenza, Influenza",eng,"health>diseases and conditions, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology, health>diseases and conditions>communicable disease",10.1126/science.1213362
ecdc-934db6a638c85037e88a4d6eb276d7f3,"Rapid risk assessment: Severe respiratory disease associated with a novel influenza A virus, A(H7N9) China",Publication,2013-04-05,https://www.ecdc.europa.eu/en/publications-data/rapid-risk-assessment-severe-respiratory-disease-associated-novel-influenza-virus,,"Microbiology, Infectious diseases, Tree of life (biology)",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease, science and technology>natural science, health, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology",10.1126/science.1213362
congressionalresearch-3db2dd2942bbac383a25e975c1e0012e,Publishing Scientific Papers with Potential Security Risks: Issues for Congress,Publication,2013-03-18,https://crsreports.congress.gov/product/pdf/download/R/R42606/R42606.pdf/,,"Influenza A virus subtype H5N1, Influenza, Influenza pandemic",eng,"science and technology>natural science, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health, science and technology, science and technology>natural science>biology, health>diseases and conditions>communicable disease",10.1126/science.1213362
10.4060/i4787e,World Livestock 2013 - Changing disease landscapes,Publication,2013-01-01,https://openknowledge.fao.org/handle/20.500.14283/i3440e,"1 - Продукты знаний, Publicaciones, value chains","Zoonosis, Influenza, Chen dynasty",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology>natural science>biology",10.1126/science.1213362
robertkochde-155d3b95be196237e4a6bef7b0e283e0,Report on the Epidemiology of Influenza in Germany Season 2011/12,Clinical guidance,2012-11-21,http://edoc.rki.de/176904/3468,"ARE-Berichterstattung, DDC 610, Fortlaufende Veröffentlichungen, Open Access Set, PeriodicalPart, Primus Set, textPublication","Influenza, Influenza A virus subtype H3N2, Influenza A virus subtype H1N1",ger,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness, health",10.1126/science.1213362
10.2760/26856,Interferences between non-proliferation and science : ‘exporting’ dual-use know-how and technology in conformity with security imperatives.,Publication,2018-01-09,https://op.europa.eu/en/publication-detail/-/publication/7aa93b6b-f5bb-11e7-b8f5-01aa75ed71a1/language-en/format-PDF,,"Human activities, Culture, European Union",eng,"economy, business and finance, health, science and technology, politics>international relations, politics, economy, business and finance>economy, science and technology>natural science, science and technology>social sciences",10.1038/nature10831
10.2903/j.efsa.2016.4687,Urgent request on avian influenza,Publication,2017-01-30,https://www.efsa.europa.eu/en/efsajournal/pub/4687,,"Poultry, Disease surveillance, Influenza",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health, science and technology, health>diseases and conditions>communicable disease>virus disease",10.1038/nature10831
govuk-a835b221483ac563bc689f5c91d4a289,Influenza A (H5) in non-human mammals,Publication,2024-12-04,https://www.gov.uk/government/publications/influenza-a-h5-in-non-human-mammals,,"Medical specialties, Epidemiology, Microbiology",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health, science and technology>natural science>biology",10.1038/nature10831
cset-f31757b077187b5dc43845d1a78b406c,Understanding the Global Gain-of-Function Research Landscape,Publication,2023-08-01,https://cset.georgetown.edu/publication/understanding-the-global-gain-of-function-research-landscape/,,"Microbiology, Health, Medical specialties",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions",10.1038/nature10831
gpogov-8ceec3c0acdf7e3db26312401ef3869a,"""A complex and grave situation"" : a political chronology of the SARS-CoV-2 outbreak.",Publication,2023-05-15,https://purl.fdlp.gov/GPO/gpo212742,,"Health, Biology, Chinese Communist Party",eng,"health, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, science and technology",10.1038/nature10831
10.25646/12213.2,Avian influenza overview December 2022 – March 2023,Publication,2023-03-13,https://www.ecdc.europa.eu/en/publications-data/avian-influenza-overview-december-2022-march-2023,,"Animals, Zoonosis, Virus",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health",10.1038/nature10831
randcorporation-9528b18dddbae0028543790ac9330f60,Lessons Learned from the COVID-19 Outbreak,Publication,2022-11-01,https://www.rand.org/pubs/perspectives/PEA1481-2.html,"International Security and Defense Policy Center, RAND National Security Research Division","COVID-19 pandemic, World Health Organization, Biosecurity",eng,"science and technology>natural science, health>diseases and conditions, health, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology",10.1038/nature10831
who-21e58fa0cb28e055c4cacde8da6855c0,Emerging technologies and dual-use concerns: a horizon scan for global public health,Publication,2021-10-22,https://apps.who.int/iris/handle/10665/346862,,"Biology, Life sciences, Misinformation",eng,"health, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, science and technology",10.1038/nature10831
committee_house-b5542ccd0a14807db5ec795b16ebd05a,Biosecurity for the Future: Strengthening Deterrence and Detection,Publication,2021-08-01,https://www.congress.gov/event/117th-congress/house-event/114290,"117th Congress (2021-2022), House Foreign Affairs","Severe acute respiratory syndrome coronavirus 2, Pandemic, Virology",eng,"health>diseases and conditions, science and technology>natural science, health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, science and technology, health",10.1038/nature10831
carnegieendowment-4dde15fadcc162e97942cc73f7ba46ac,"New Tech, New Threats, and New Governance Challenges: An Opportunity to Craft Smarter Responses?",Publication,2019-08-28,https://carnegieendowment.org/2019/08/28/new-tech-new-threats-and-new-governance-challenges-opportunity-to-craft-smarter-responses-pub-79736,,"Artificial intelligence, Governance, Computer security",eng,"science and technology>natural science, science and technology, science and technology>natural science>biology, conflicts, war and peace, society, conflicts, war and peace>armed conflict, health, politics>government, politics, politics>international relations",10.1038/nature10831
10.2861/620590,Bio Plus X: Arms Control and the Convergence of Biology and Emerging Technologies,Publication,2019-03-01,https://www.sipri.org/publications/2019/other-publications/bio-plus-x-arms-control-and-convergence-biology-and-emerging-technologies,,"Artificial intelligence, Biosecurity, Machine learning",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology, science and technology>natural science>biology, economy, business and finance>economic sector>computing and information technology, health, health>diseases and conditions, education, science and technology>natural science",10.1038/nature10831
governmentofcanada-b1107c749bf36be15ec3792a9f13e59d,Canadian biosafety guideline : dual-use in life science research.: HP45-22/2018E-PDF Publications - Canada.ca,Publication,2018-07-02,http://publications.gc.ca/site/eng/9.894145/publication.html,,"Health, Wassenaar Arrangement, Biological agent",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology",10.1038/nature10831
who-b7697af8596ed30724edfcab9e0ca495,2017 update,Publication,2018-01-22,https://apps.who.int/iris/handle/10665/259891,,"Infection, Medical specialties, Health sciences",eng,"health>diseases and conditions, science and technology, science and technology>natural science, science and technology>natural science>biology, health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease>virus disease>retrovirus, health>diseases and conditions>communicable disease>epidemic, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease",10.1038/nature10831
kcdc-96ea79d51402b22ca2054032af04c3ae,Center for Disease Control,Clinical guidance,2017-10-19,https://www.cdc.go.kr/board/board.es?mid=a20602010000&bid=0034&list_no=76632&act=view,,,kor,,10.1038/nature10831
kcdc-e56ff0b38fd48617189347e3134fa738,Centers for Disease Control and Prevention,Clinical guidance,2017-10-19,https://www.kdca.go.kr/board/board.es?mid=a20602010000&bid=0034&list_no=76632&act=view,,"Biology, Life sciences, Influenza A virus subtype H1N1",kor,"health>diseases and conditions, health>diseases and conditions>communicable disease, health>health treatment, science and technology>natural science>biology, science and technology>natural science, health, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease, health>health treatment>medicine",10.1038/nature10831
royalsociety-b7d7df6e8f7c5819c438db0dfc31b0de,Implications of advances in science for the BTWC,Publication,2017-09-20,https://royalsociety.org/topics-policy/projects/biological-toxin-weapons-convention,,"Orthomyxoviridae, Microscopy, Antibody",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology>natural science, science and technology, health, science and technology>natural science>biology>genetics",10.1038/nature10831
tabde-d5c66a1587b61e8b39c2be111b3a2c40,Synthetic Biology - the next level of biotechnology and genetic engineering,Publication,2015-12-01,http://www.tab-beim-bundestag.de/de/pdf/publikationen/berichte/TAB-Arbeitsbericht-ab164.pdf,,"Technology assessment, Biology, Photosynthesis",ger,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science>biology, science and technology, economy, business and finance>economic sector>chemicals, science and technology>natural science>biology>genetics, science and technology>natural science, environment, environment>natural resources",10.1038/nature10831
apo-1bba1a3322091ba0e135b6052be89310,Questions from the lab – is Australia and the near region ready for the next attack of ‘flu?,Publication,2015-10-22,https://apo.org.au/node/58152,,"Influenza, Avian influenza, Influenza A virus subtype H5N1",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, science and technology, science and technology>natural science, health, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>epidemic, science and technology>natural science>biology, health>diseases and conditions>communicable disease",10.1038/nature10831
federalregister-8e89311affc2d616b5a673f7ecc4b616,"Possession, Use, and Transfer of Select Agents and Toxins; Addition of Certain Influenza Virus Strains to the List of Select Agents and Toxins",Publication,2015-07-16,https://www.federalregister.gov/documents/2015/07/16/2015-17435/possession-use-and-transfer-of-select-agents-and-toxins-addition-of-certain-influenza-virus-strains,,"Medical specialties, Medicine, Health",eng,"science and technology>natural science, health>diseases and conditions>communicable disease, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology>natural science>biology, health, science and technology, science and technology>natural science>biology>genetics",10.1038/nature10831
10.2791/240743,"Innovation: managing risk, not avoiding it",Publication,2014-11-19,https://www.gov.uk/government/publications/innovation-managing-risk-not-avoiding-it,,"Innovation, Risk, Automation",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, economy, business and finance>economy, environment, society, economy, business and finance>economic sector>transport, science and technology>natural science>biology, education, science and technology, society>values",10.1038/nature10831
10.2900/31986,Annual Epidemiological Report 2013 [2011 data],Publication,2013-12-18,https://www.ecdc.europa.eu/en/publications-data/annual-epidemiological-report-2013-2011-data,,"Influenza A virus subtype H3N2, Influenza A virus subtype H5N1, Avian influenza",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease",10.1038/nature10831
thlfi-2a4bd2070b285e6423e372c618acc9b4,Laboratory diagnosis and surveillance of acute respiratory tract infections caused by certain common viruses and Mycoplasma pneumoniae,Clinical guidance,2013-10-09,http://www.julkari.fi/handle/10024/110666,,"Influenza A virus subtype H3N2, Infection, Influenza",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science, health, health>diseases and conditions>illness, science and technology>natural science>biology, health>diseases and conditions>communicable disease, science and technology",10.1038/nature10831
cdc-5316d03a2a78ed5c0967ac220032b779,Biosafety recommendations for work with influenza viruses containing a hemagglutinin from the A/goose/Guangdong/1/96 lineage,Clinical guidance,2013-06-10,https://stacks.cdc.gov/view/cdc/13731,,"Influenza A virus subtype H5N1, Avian influenza, Biosafety level",eng,"science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health, science and technology>natural science>biology, science and technology, health>diseases and conditions>communicable disease",10.1038/nature10831
parliamentofaustraliacc-aa9c6cbc8cc1d60c88dfc9b136b5c45e,Implementation of the Defence Trade Controls Legislation Submission 12,Publication,2013-05-20,https://www.aph.gov.au/DocumentStore.ashx?id=7e78bfeb-3fd2-41c8-af9e-bcbad7f0eb75&subId=23372,,"Governance, Education, Policy",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology, science and technology>natural science>biology>genetics",10.1038/nature10831
ecdc-a086bc835ffb08f1c0cd2ede54009b3a,"Human infection with a novel avian influenza virus, A(H7N9), China - 2nd update, 8 May 2013",Publication,2013-05-08,https://www.ecdc.europa.eu/en/publications-data/human-infection-novel-avian-influenza-virus-ah7n9-china-2nd-update-8-may-2013,,"Influenza A virus subtype H7N9, Avian influenza, Influenza A virus subtype H5N1",eng,"health>diseases and conditions, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health, science and technology>natural science>biology, science and technology, health>diseases and conditions>illness, health>diseases and conditions>communicable disease",10.1038/nature10831
hcspfr-2184f263c83f8debd5ae7d1a8be48362,Infections due to avian <em>influenza</em> viruses A(H7N9) or A(H5N1). Recommendations,Publication,2013-04-25,https://www.hcsp.fr/Explore.cgi/avisrapportsdomaine?clefr=323,,"Influenza A virus subtype H7N9, Influenza A virus subtype H5N1, Influenza",fre,"science and technology, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science, health>diseases and conditions, health, health>diseases and conditions>illness, science and technology>natural science>biology, health>diseases and conditions>communicable disease",10.1038/nature10831
congressionalresearch-3db2dd2942bbac383a25e975c1e0012e,Publishing Scientific Papers with Potential Security Risks: Issues for Congress,Publication,2013-03-18,https://crsreports.congress.gov/product/pdf/download/R/R42606/R42606.pdf/,,"Influenza, Influenza pandemic, Avian influenza",eng,"science and technology>natural science, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health, science and technology, science and technology>natural science>biology, health>diseases and conditions>communicable disease",10.1038/nature10831
govuk-9d48aada480338e671a2a562513650aa,Biological hazards: prediction,Publication,2012-11-27,https://www.gov.uk/government/publications/biological-hazards-prediction,,"Infection, Antimicrobial resistance, Influenza",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease>epidemic, science and technology, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease>retrovirus, health>diseases and conditions>communicable disease",10.1038/nature10831
federalregister-3866bb5f75d00c9c28242f198576d588,Influenza Viruses Containing the Hemagglutinin from the Goose/Guangdong/1/96 Lineage,Publication,2012-10-17,https://www.federalregister.gov/documents/2012/10/17/2012-25377/influenza-viruses-containing-the-hemagglutinin-from-the-gooseguangdong196-lineage,,"Avian influenza, Influenza A virus subtype H5N1, Influenza",eng,"science and technology, health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology, health>diseases and conditions, health, health>diseases and conditions>illness",10.1038/nature10831
unitednations-5c8a3528f8169f449d14f76b7b3a034a,Making avian influenza aerosol-transmissible in mammals :background information document /,Publication,2012-06-11,https://digitallibrary.un.org/record/729640?ln=en,"ANIMAL DISEASES, BIOLOGICAL WEAPONS, INFLUENZA","Negarnaviricota, Avian influenza, Influenza A virus subtype H5N1",rus,"science and technology>natural science, health>diseases and conditions>communicable disease, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, health, science and technology, science and technology>natural science>biology>genetics, health>diseases and conditions",10.1038/nature10831
10.2779/604233,Synthetic biology and biodiversity - Publications Office of the EU,Publication,2016-09-12,https://op.europa.eu/en/publication-detail/-/publication/7f1e973a-dbc7-11ee-b9d9-01aa75ed71a1/language-en,,"Life sciences, Biotechnology, Animal husbandry",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease, lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease, lifestyle and leisure>lifestyle>food and drink, health",10.1126/science.1072266
randcorporation-8435dd8a8dd0461232cb9f74ee9debf1,Securing Commercial Nucleic Acid Synthesis,Publication,2024-07-01,https://www.rand.org/pubs/research_reports/RRA3329-1.html,"Meselson Center, RAND Global and Emerging Risks","Synthetic biology, Virus, Nucleic acid sequence",eng,"economy, business and finance, economy, business and finance>economic sector, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease, health, economy, business and finance>economic sector>computing and information technology",10.1126/science.1072266
who-269e5872975525599bc2ffaddd1d011e,"Global Guiding Framework: Responsible Use of Life Sciences: Mitigating Biological Risks, Governing Dual-Use Research",Publication,2023-06-14,https://apps.who.int/iris/handle/10665/369236,,"Governance, Risk management, Risk",chi,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions, science and technology, health, economy, business and finance>economic sector>computing and information technology",10.1126/science.1072266
who-083c2a2238ce6b3cd059c032a7e92b40,Global policy framework for the responsible use of life sciences: mitigating biological risks and governing dual research,Publication,2023-06-13,https://apps.who.int/iris/handle/10665/369131,,"Governance, Safety, Natural environment",fre,"science and technology>natural science, health>diseases and conditions>communicable disease, science and technology>natural science>biology, health>diseases and conditions, science and technology, science and technology>natural science>biology>genetics, health, health>diseases and conditions>communicable disease>virus disease",10.1126/science.1072266
who-4edc91b17fa672bc52fdef05a27b0791,A global guideline framework for the responsible use of the life sciences: reducing biological risks and regulating dual-use research,Publication,2023-06-13,https://apps.who.int/iris/handle/10665/369130,,"Biological agent, Science, Ecology",ara,"economy, business and finance, economy, business and finance>economic sector, lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science, health, health>diseases and conditions, science and technology, science and technology>natural science>biology, economy, business and finance>economic sector>computing and information technology, lifestyle and leisure>lifestyle>food and drink",10.1126/science.1072266
who-7f17601c4d68f6e97900f13184888703,Global Guidelines for the Responsible Use of Life Sciences Research: Biological Risk Reduction and Management of Dual Use Research,Publication,2023-06-13,https://apps.who.int/iris/handle/10665/369132,,"Health, Disease, Creative Commons license",rus,"science and technology>natural science, science and technology>natural science>biology, science and technology, health>diseases and conditions, health, science and technology>natural science>biology>genetics",10.1126/science.1072266
who-2328628190847b6aedf513fff1ba338d,Global Guidance Framework for Responsible Use of Life Sciences: Biohazard Reduction and Governance of Dual-Use Research,Publication,2023-06-09,https://apps.who.int/iris/handle/10665/368979,,"Infodemic, Governance, United Nations Security Council Resolution 1540",spa,"lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science, science and technology>natural science>biology, science and technology, health>diseases and conditions, health, science and technology>natural science>biology>genetics, lifestyle and leisure>lifestyle>food and drink",10.1126/science.1072266
govdeptsjapan-794c3583a71ffa10232284850a653aec,Individual survey analysis 1 Health/medical care,Publication,2023-05-11,https://www8.cao.go.jp/cstp/stmain/pdf/20230314thinktank/seikabutsu/shiryou2-1-01.pdf,,"Vaccine, COVID-19 pandemic, BCG vaccine",jpn,"health>health treatment, health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions, health, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, science and technology, health>diseases and conditions>cancer, health>health treatment>medicine",10.1126/science.1072266
govdeptsjapan-a7e8c6d921b30cc88cc45ff636cf0899,Individual Survey Analysis 1: Health and Medicine,Publication,2023-05-11,https://www8.cao.go.jp/cstp/stmain/pdf/20230314thinktank/seikabutsu/shiryou2-2-06.pdf,,"Genome editing, DNA, 3C-like protease",jpn,"health>diseases and conditions>communicable disease, health>health treatment, science and technology>natural science, health>diseases and conditions, health, science and technology>natural science>biology, science and technology, health>diseases and conditions>communicable disease>virus disease, health>health treatment>medicine",10.1126/science.1072266
who-aa3ec977c0703d631c5009c21f3c2496,Global guidance framework for the responsible use of life sciences: mitigating biological risks and governing dual-use research,Publication,2023-01-01,https://apps.who.int/iris/handle/10665/374885,2. Regional Office for Africa,"Science, Biology, Life",por,"science and technology>natural science>biology, science and technology>natural science, science and technology, science and technology>natural science>biology>genetics, health>diseases and conditions, health, science and technology>social sciences",10.1126/science.1072266
interacademies-87ccbd94e76c0729d54d394ee120e1d4,Global guidance framework for the responsible use of the life sciences,Publication,2022-09-12,https://www.interacademies.org/publication/global-guidance-framework-responsible-use-life-sciences,,"Governance, Biosecurity, Biosafety",eng,"science and technology>natural science, science and technology>research, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions, health, science and technology>research>medical research",10.1126/science.1072266
who-f6488bdadd89245cefef23285bb10d1b,Global guidance framework for the responsible use of the life sciences: mitigating biorisks and governing dual-use research,Publication,2022-09-07,https://apps.who.int/iris/handle/10665/362313,,"Good governance, Biosecurity, Governance",eng,"science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions, science and technology, health, science and technology>natural science>biology>genetics",10.1126/science.1072266
govuk-0fee75b5b0a58aa2f9dbd604f23b5b8a,Future threats or opportunities: Dstl student essay competition,Publication,2021-12-21,https://www.gov.uk/government/publications/future-threats-or-opportunities-dstl-student-essay-competition,,"Synthetic biology, Human activities, Biological warfare",eng,"crime, law and justice, economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, economy, business and finance>economic sector>computing and information technology, science and technology, science and technology>natural science>biology, crime, law and justice>crime",10.1126/science.1072266
who-21e58fa0cb28e055c4cacde8da6855c0,Emerging technologies and dual-use concerns: a horizon scan for global public health,Publication,2021-10-22,https://apps.who.int/iris/handle/10665/346862,,"Biosecurity, Synthetic biology, Governance",eng,"health, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, science and technology",10.1126/science.1072266
committee_house-b5542ccd0a14807db5ec795b16ebd05a,Biosecurity for the Future: Strengthening Deterrence and Detection,Publication,2021-08-01,https://www.congress.gov/event/117th-congress/house-event/114290,"117th Congress (2021-2022), House Foreign Affairs","Severe acute respiratory syndrome coronavirus 2, Pandemic, Virology",eng,"health>diseases and conditions, science and technology>natural science, health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, science and technology, health",10.1126/science.1072266
unidir-32b63815f4c4871497402f6df3cb3aac,Advances in Science and Technology in the Life Sciences,Publication,2020-08-19,https://unidir.org/publication/advances-in-science-and-technology-in-the-life-sciences/,,"Nucleic acid, Nucleic acid sequence, DNA sequencing",eng,"science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, science and technology>technology and engineering, science and technology>technology and engineering>micro science, science and technology, science and technology>technology and engineering>micro science>nanotechnology",10.1126/science.1072266
who-16e7341d58bd345794c94dbbed7dd0d4,WHO Expert Committee on Biological Standardization: seventieth report,Publication,2020-05-18,https://apps.who.int/iris/handle/10665/332102,,"World Health Organization, Vaccine, Polio vaccine",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease, science and technology>natural science, health, science and technology>natural science>biology, science and technology, health>diseases and conditions>illness",10.1126/science.1072266
undrr-7700aa7a805c9349de6cda8e81656edc,Bio-hazard disaster risk governance through multi-agency cooperation,Publication,2019-06-19,https://www.undrr.org/publication/bio-hazard-disaster-risk-governance-through-multi-agency-cooperation,,"Biological warfare, Governance, Emergency management",eng,"disaster, accident and emergency incident, health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions, health, disaster, accident and emergency incident>disaster, science and technology, science and technology>natural science>biology, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease",10.1126/science.1072266
oieint-a44240bc1b40b9ffada3564f114c8dd6,"Report of the meeting of the OIE Biological Standards Commission, Paris, 12-15 February 2019",Publication,2019-02-01,https://doc.oie.int/dyn/portal/index.xhtml?page=alo&aloId=38464&req=23,,"European Commission, Influenza, Middle East respiratory syndrome–related coronavirus",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>illness, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology, science and technology>natural science>biology>genetics",10.1126/science.1072266
